answerType,difficulty,answer,choices,question,question_uuid
1,2,TRUE,,"Tiger Woods is a professional golfer.",006b4f45-2f99-44fa-b404-d091b06346ce
0,4,1865,[1863:1864:1865:1866],"What year did the American Civil War end?",0338fbe2-0d14-46c3-bdbb-ff29d0135463
0,4,"Pittsburgh Steelers","[Dallas Cowboys:San Francisco 49ers:Pittsburgh Steelers:New England Patriots]","Which NFL team has won the most Super Bowls?",0402e103-b6a0-4ddb-98a4-78ccd418e8b3
0,3,23,[20:21:22:23],"How many Grand Slam singles titles has Serena Williams won?",0701e7b6-c1b4-4812-9a0f-282543051359
0,1,LAN,[WAN:LAN:MAN:PAN],"What type of network is used to connect devices within a home or office?",090effbc-e8d4-4100-931e-d4abd4633b23
2,2,Florida,,"Which state is known as the 'Sunshine State'?",094b8f5a-232e-4f76-85f3-438927b7aafb
2,4,Sacramento,,"What is the capital of California?",0c2560ab-7883-46fd-9fcb-250fb2e68b27
0,4,"Civil War","[Revolutionary War:Civil War:War of 1812:Mexican-American War]","Which war was fought between the North and South regions in the United States?",0cdc008c-453b-4d52-b70a-6a98847f2316
0,3,"To route data packets","[To store data:To route data packets:To process requests:To secure connections]","What is the main function of a router?",0e14bcfe-3bde-40d6-b0ab-a8feb06b78a7
0,1,5,[4:5:6:7],"How many players are there on a basketball team on the court at one time?",10b7eb88-2cda-4d21-97b6-46fea39614b2
1,1,FALSE,,"Cricket is the national sport of the United States.",174f152a-b49b-4ee3-ab4c-4434339e89c2
1,1,TRUE,,"The Bill of Rights is the first ten amendments to the U.S. Constitution.",1808be20-3a6b-4562-a030-2591de3cf740
0,4,Slavery,"[Taxation:Territorial Expansion:Slavery:Trade Disputes]","What was the main cause of the American Civil War?",19473eae-6d5d-45bf-960d-9f3df54b3538
0,4,HTTPS,[HTTP:FTP:SSH:HTTPS],"Which protocol is used for secure communication over a computer network?",1abec21c-cb87-4759-bc40-144462c6bf8b
0,4,"Jack Nicklaus","[Arnold Palmer:Tiger Woods:Jack Nicklaus:Gary Player]","Which golfer is nicknamed 'The Golden Bear'?",1cde76b6-a10f-4aa8-87fe-1b064cb1a2e8
0,5,"George Washington","[George Washington:Thomas Jefferson:John Adams:James Madison]","Who was the first President of the United States?",1e374cdf-7f16-4378-935b-6fc93b7be653
0,2,"To explore the Louisiana Territory","[To establish trade routes:To explore the Louisiana Territory:To find gold:To create new maps]","What was the primary purpose of the Lewis and Clark Expedition?",29558295-b6c8-4e4e-9c03-e8f8162c57d1
2,4,Idaho,,"Which state is known for its potatoes?",2992ac81-c9b6-460b-b2a1-8d6f077fb4f7
0,3,"Network Address Translation","[Network Access Transmission:Network Address Translation:Network Allocation Table:Node Allocation Technology]","What does 'NAT' stand for in networking?",2c2108e2-4334-4740-9c29-48ce831176bb
0,5,Repeater,[Router:Switch:Repeater:Modem],"Which device is used to amplify signals in a network?",2d5227e8-2974-456d-a688-cf0f4ae5b583
0,5,"George Washington","[George Washington:Thomas Jefferson:Alexander Hamilton:John Adams]","Who was the commander of the Continental Army during the American Revolutionary War?",2e11b0b4-62a4-4b7d-ac56-7c52e7a45bb1
0,5,Delaware,"[New York:Pennsylvania:Delaware:Virginia]","Which U.S. state was the first to ratify the Constitution?",314bd121-cbb5-4c09-9dc0-a7abf2b8ec5e
0,1,300,[200:250:300:350],"What is the maximum score in 10-pin bowling?",31824b21-e578-47b4-a461-018307f470b4
1,5,TRUE,,"The FIFA World Cup is held every four years.",352ffecc-279d-49a2-b2fa-f7526194ef94
2,4,Portuguese,,"What is the official language of Brazil?",35fe1655-d827-4fe8-983a-316b184566a0
1,1,FALSE,,"The Vice President is also the Speaker of the House.",38ed4226-440b-4c63-9c72-5900561cb6eb
0,5,"Jefferson Davis","[Robert E. Lee:Ulysses S. Grant:Jefferson Davis:Abraham Lincoln]","Who was the leader of the Confederate States during the American Civil War?",419dfded-c9ea-4ddf-b47f-c65e3052d8dd
0,2,Transport,"[Physical:Data Link:Transport:Network]","Which layer of the OSI model handles error correction?",433bdfcb-dd06-4582-b51e-03814390a994
0,3,"Wireless Fidelity","[Wireless Functionality:Wireless Fidelity:Wired Fidelity:Wide Fidelity]","What does 'WiFi' stand for?",43499c18-e052-4869-8d4d-d8e393ae476e
0,4,255.255.255.0,[255.0.0.0:255.255.0.0:255.255.255.0:255.255.255.255],"What is the default subnet mask for a Class C IP address?",490e45fd-7e66-4f20-972a-c38905defdae
1,3,TRUE,,"Muhammad Ali was a famous professional boxer.",4ae4ff75-4600-42f9-8b77-bf5d25a7531d
2,4,Nepal,,"Mount Everest is located in which country?",4db8e432-6d4e-4671-b72f-f43af988eb5a
1,4,TRUE,,"The United States Constitution was written in 1787.",50e72ea9-8bb0-4a5f-bf09-18402ec1d895
